brand,model,ram_gb,storage_gb,age_months,battery_health,condition,launch_price,price
Apple,iPhone 17 Pro Max,12,256,12,90,Excellent,169900,144415.0
Apple,iPhone 17 Pro,12,256,12,90,Excellent,144900,123165.0
Samsung,Galaxy A55,8,128,4,94,Excellent,39999,37900.0
Xiaomi,Redmi Note 12 Pro,8,256,29,73,Excellent,23999,8200.0
Samsung,Galaxy M55,8,128,28,79,Good,26999,10100.0
Xiaomi,Redmi Note 13 Pro+,8,256,32,72,Excellent,31999,10600.0
Samsung,Galaxy F54,8,256,46,68,Good,29999,6000.0
Xiaomi,Redmi Note 12 Pro,8,256,11,95,Poor,23999,10700.0
Apple,iPhone 16 Plus,8,256,15,86,Good,89900,57600.0
Samsung,Galaxy M55,8,128,1,86,Good,26999,22900.0
Samsung,Galaxy S23 FE,8,128,38,69,Good,59999,15400.0
Samsung,Galaxy A35,8,256,15,73,Good,30999,16900.0
OnePlus,OnePlus 10 Pro,12,256,8,99,Excellent,61999,50000.0
Xiaomi,Redmi Note 12 Pro,8,256,4,98,Poor,23999,13400.0
Samsung,Galaxy M55,8,256,24,66,Excellent,26999,11800.0
Samsung,Galaxy Z Fold 5,12,512,33,73,Good,154999,47700.0
Samsung,Galaxy S22 Ultra,12,256,21,92,Good,109999,57700.0
Samsung,Galaxy M55,8,128,8,92,Fair,26999,17700.0
Samsung,Galaxy A55,8,256,21,79,Excellent,39999,20000.0
OnePlus,OnePlus 10 Pro,8,128,46,65,Excellent,61999,13700.0
Apple,iPhone 16,8,128,16,76,Fair,79900,38800.0
Samsung,Galaxy M55,8,256,35,81,Good,26999,8600.0
Samsung,Galaxy S23 FE,8,128,29,87,Fair,59999,20700.0
Samsung,Galaxy Z Flip 5,8,512,27,71,Good,99999,35700.0
Samsung,Galaxy S23 Ultra,12,1024,34,74,Fair,124999,31400.0
Samsung,Galaxy S24 Ultra,12,512,36,76,Excellent,129999,40500.0
Samsung,Galaxy Z Flip 5,8,256,27,80,Fair,99999,33600.0
Apple,iPhone 16,8,256,8,77,Excellent,79900,66300.0
OnePlus,OnePlus Open,16,1024,1,100,Fair,139999,115800.0
Samsung,Galaxy F54,8,256,43,65,Fair,29999,5900.0
Samsung,Galaxy Note 20 Ultra,12,512,25,79,Excellent,104999,45300.0
Apple,iPhone 17 Plus,8,256,33,73,Fair,99900,30100.0
Google,Pixel 9 Pro XL,16,256,30,82,Fair,124999,43100.0
Google,Pixel 9 Pro XL,16,256,43,69,Good,124999,30800.0
Apple,iPhone 16 Plus,8,512,16,72,Poor,89900,35900.0
Samsung,Galaxy S24,8,128,29,91,Good,79999,31600.0
Apple,iPhone 17 Plus,8,256,10,91,Excellent,99900,84700.0
Samsung,Galaxy S24 Ultra,12,256,9,91,Good,129999,99600.0
OnePlus,OnePlus Open,16,1024,33,57,Excellent,139999,45400.0
Samsung,Galaxy S24 Ultra,12,512,14,89,Poor,129999,54500.0
Samsung,Galaxy S22 Ultra,12,512,6,94,Excellent,109999,97800.0
Samsung,Galaxy S23 FE,8,256,32,84,Fair,59999,17600.0
Samsung,Galaxy M55,8,256,27,86,Good,26999,11300.0
Google,Pixel 8a,8,256,32,62,Fair,52999,15800.0
Samsung,Galaxy Z Fold 5,12,256,37,68,Fair,154999,36100.0
Samsung,Galaxy M55,8,128,17,89,Good,26999,14900.0
Samsung,Galaxy Z Flip 5,8,512,17,75,Good,99999,50900.0
Apple,iPhone 17,8,256,18,86,Excellent,89900,59800.0
Samsung,Galaxy S24+,12,512,42,66,Fair,99999,20300.0
Xiaomi,Poco X6 Pro,8,256,6,87,Excellent,25999,19600.0
OnePlus,OnePlus 10 Pro,12,256,46,64,Good,61999,12800.0
Xiaomi,Redmi Note 13 Pro+,8,256,35,73,Good,31999,8300.0
Samsung,Galaxy Z Fold 5,12,512,18,81,Good,154999,80200.0
Samsung,Galaxy S23 FE,8,256,26,80,Excellent,59999,26400.0
Xiaomi,Redmi Note 13 Pro+,8,256,33,77,Good,31999,8900.0
Samsung,Galaxy S23 FE,8,128,3,89,Fair,59999,43200.0
OnePlus,OnePlus 10 Pro,12,256,38,68,Good,61999,16000.0
Xiaomi,Poco F6,8,256,39,73,Excellent,29999,7900.0
Samsung,Galaxy S24,8,256,26,75,Good,79999,30900.0
Xiaomi,Redmi Note 13 Pro,8,128,48,74,Good,25999,4900.0
Samsung,Galaxy S23 Ultra,12,512,7,82,Excellent,124999,105100.0
OnePlus,OnePlus 10 Pro,12,256,9,90,Poor,61999,32200.0
Google,Pixel 8a,8,256,27,80,Excellent,52999,23300.0
Samsung,Galaxy F54,8,256,1,94,Good,29999,27700.0
Google,Pixel 8 Pro,12,512,26,85,Excellent,106999,52400.0
Samsung,Galaxy S22 Ultra,12,256,11,86,Good,109999,73500.0
Apple,iPhone 16 Plus,8,512,15,84,Good,89900,56900.0
Xiaomi,Redmi Note 12 Pro,8,256,28,80,Fair,23999,7300.0
Samsung,Galaxy S23 FE,8,128,15,85,Good,59999,35100.0
Xiaomi,Poco X6 Pro,8,256,11,87,Excellent,25999,17300.0
Samsung,Galaxy S23 FE,8,128,48,64,Excellent,59999,12400.0
Samsung,Galaxy S23 FE,8,128,8,83,Good,59999,42200.0
Samsung,Galaxy A35,8,128,26,71,Excellent,30999,13500.0
Samsung,Galaxy Z Flip 5,8,256,26,82,Fair,99999,37100.0
Xiaomi,Redmi Note 12 Pro,8,256,43,70,Excellent,23999,5300.0
Samsung,Galaxy S24 Ultra,12,1024,2,90,Excellent,129999,133400.0
Samsung,Galaxy S24 Ultra,12,512,26,72,Poor,129999,36900.0
Samsung,Galaxy S23 FE,8,128,29,92,Excellent,59999,25800.0
Samsung,Galaxy S24 Ultra,12,256,47,68,Poor,129999,18200.0
Samsung,Galaxy S22 Ultra,12,512,47,64,Excellent,109999,23400.0
Samsung,Galaxy S23 Ultra,12,256,44,68,Fair,124999,25200.0
Samsung,Galaxy Note 20 Ultra,12,512,33,84,Good,104999,35600.0
Samsung,Galaxy S22 Ultra,12,256,16,84,Good,109999,60300.0
Google,Pixel 9,12,256,16,83,Excellent,79999,52700.0
Apple,iPhone 17,8,256,19,80,Fair,89900,46200.0
Samsung,Galaxy S23 Ultra,12,256,21,76,Good,124999,54400.0
Xiaomi,Redmi Note 12 Pro,6,128,23,71,Fair,23999,7700.0
Samsung,Galaxy S22 Ultra,12,256,18,85,Good,109999,59100.0
Samsung,Galaxy M55,8,128,13,85,Good,26999,16700.0
Samsung,Galaxy A35,8,256,36,70,Good,30999,9100.0
Google,Pixel 8 Pro,12,256,37,61,Good,106999,32200.0
OnePlus,OnePlus 10 Pro,8,128,16,77,Excellent,61999,35700.0
Samsung,Galaxy S23 FE,8,128,40,66,Good,59999,15300.0
Xiaomi,Poco X6 Pro,8,256,39,74,Good,25999,6300.0
Samsung,Galaxy S23 FE,8,256,6,97,Excellent,59999,50500.0
OnePlus,OnePlus 10 Pro,12,256,22,81,Fair,61999,24800.0
Samsung,Galaxy A55,8,256,17,98,Good,39999,22500.0
OnePlus,OnePlus 10 Pro,12,256,1,100,Poor,61999,38500.0
Xiaomi,Redmi Note 12 Pro,8,256,28,82,Excellent,23999,9400.0
Samsung,Galaxy S23 Ultra,12,256,29,83,Fair,124999,40800.0
Samsung,Galaxy S23 FE,8,256,15,83,Good,59999,34700.0
Samsung,Galaxy A35,8,256,45,55,Good,30999,7000.0
Samsung,Galaxy S22 Ultra,12,1024,38,63,Good,109999,29400.0
Samsung,Galaxy Z Fold 5,12,1024,3,93,Poor,154999,96000.0
Samsung,Galaxy S23 Ultra,12,256,33,74,Good,124999,38600.0
Samsung,Galaxy S22 Ultra,12,1024,16,76,Excellent,109999,59700.0
Samsung,Galaxy S24+,12,256,12,90,Good,99999,65900.0
Xiaomi,Poco X6 Pro,8,256,39,79,Good,25999,6300.0
Apple,iPhone 16,8,512,45,65,Excellent,79900,21200.0
Apple,iPhone 16 Plus,8,128,21,88,Excellent,89900,54400.0
Samsung,Galaxy S22 Ultra,12,1024,23,70,Poor,109999,32500.0
Samsung,Galaxy S23 FE,8,256,19,81,Excellent,59999,31900.0
Samsung,Galaxy A55,8,128,20,67,Excellent,39999,19800.0
Samsung,Galaxy S24,8,256,36,55,Good,79999,23600.0
Samsung,Galaxy F54,8,256,9,89,Good,29999,21200.0
Samsung,Galaxy Z Flip 5,8,512,47,74,Good,99999,19600.0
Samsung,Galaxy M55,8,256,19,81,Fair,26999,12300.0
Samsung,Galaxy A35,8,256,18,87,Excellent,30999,17600.0
OnePlus,OnePlus 10 Pro,8,128,8,97,Good,61999,45100.0
Xiaomi,Poco X6 Pro,8,256,35,70,Fair,25999,6000.0
Xiaomi,Poco X6 Pro,8,256,45,76,Fair,25999,4700.0
Apple,iPhone 17 Pro Max,12,512,10,83,Fair,169900,114300.0
Samsung,Galaxy S24 Ultra,12,1024,13,80,Excellent,129999,86200.0
Xiaomi,Poco X6 Pro,8,256,46,66,Fair,25999,4300.0
Samsung,Galaxy M55,8,256,17,88,Fair,26999,12400.0
Samsung,Galaxy Z Flip 5,8,256,5,83,Excellent,99999,85000.0
Apple,iPhone 17 Plus,8,256,23,72,Good,99900,45700.0
Xiaomi,Redmi Note 12 Pro,6,128,11,100,Excellent,23999,16300.0
Samsung,Galaxy Z Flip 5,8,512,21,75,Good,99999,43700.0
OnePlus,OnePlus Open,16,512,47,64,Fair,139999,24800.0
Samsung,Galaxy S23 Ultra,12,1024,14,80,Good,124999,73700.0
Samsung,Galaxy S24,8,256,25,91,Good,79999,37100.0
Xiaomi,Redmi Note 13 Pro,8,256,43,77,Good,25999,5200.0
Google,Pixel 9,12,256,37,83,Excellent,79999,28400.0
OnePlus,OnePlus 10 Pro,12,256,43,78,Good,61999,13900.0
OnePlus,OnePlus Open,16,512,43,66,Excellent,139999,34600.0
Xiaomi,Redmi Note 13 Pro,8,128,45,70,Fair,25999,4300.0
Apple,iPhone 16 Plus,8,512,25,63,Fair,89900,34600.0
OnePlus,OnePlus 10 Pro,8,128,35,73,Good,61999,18500.0
Apple,iPhone 17 Pro,12,512,27,76,Excellent,144900,65000.0
