brand,model,ram_gb,storage_gb,age_months,battery_health,condition,launch_price,price
Apple,iPhone 17 Pro Max,12,256,12,90,Excellent,169900,144415.0
Apple,iPhone 17 Pro,12,256,12,90,Excellent,144900,123165.0
Apple,iPhone 17 Plus,12,256,12,90,Excellent,99900,84915.0
Apple,iPhone 17,12,256,12,90,Excellent,89900,76415.0
Apple,iPhone 16 Pro Max,12,256,12,90,Excellent,159900,135915.0
Apple,iPhone 16 Pro,12,256,12,90,Excellent,134900,114665.0
Apple,iPhone 16 Plus,12,256,12,90,Excellent,89900,76415.0
Apple,iPhone 16,12,256,12,90,Excellent,79900,67915.0
Apple,iPhone 15 Pro Max,12,256,12,90,Excellent,159900,135915.0
Apple,iPhone 15 Pro,12,256,12,90,Excellent,134900,114665.0
Apple,iPhone 15 Plus,12,256,12,90,Excellent,89900,76415.0
Apple,iPhone 15,12,256,12,90,Excellent,79900,67915.0
Apple,iPhone 14 Pro Max,12,256,12,90,Excellent,139900,118915.0
Apple,iPhone 14 Pro,12,256,12,90,Excellent,129900,110415.0
Apple,iPhone 14 Plus,12,256,12,90,Excellent,89900,76415.0
Apple,iPhone 14,12,256,12,90,Excellent,79900,67915.0
Apple,iPhone 13 Pro Max,12,256,12,90,Excellent,129000,109650.0
Apple,iPhone 13 Pro,12,256,12,90,Excellent,119900,101915.0
Apple,iPhone 13 Mini,12,256,12,90,Excellent,69900,59415.0
Apple,iPhone 13,12,256,12,90,Excellent,79900,67915.0
Apple,iPhone 12 Pro Max,12,256,12,90,Excellent,129900,110415.0
Apple,iPhone 12 Pro,12,256,12,90,Excellent,119000,101150.0
Apple,iPhone 12 Mini,12,256,12,90,Excellent,69900,59415.0
Apple,iPhone 12,12,256,12,90,Excellent,79900,67915.0
Apple,iPhone 11 Pro Max,12,256,12,90,Excellent,109900,93415.0
Apple,iPhone 11 Pro,12,256,12,90,Excellent,99900,84915.0
Apple,iPhone 11,12,256,12,90,Excellent,64900,55165.0
Apple,iPhone XS Max,12,256,12,90,Excellent,109900,93415.0
Apple,iPhone XS,12,256,12,90,Excellent,99900,84915.0
Apple,iPhone XR,12,256,12,90,Excellent,76900,65365.0
Apple,iPhone X,12,256,12,90,Excellent,89000,75650.0
Apple,iPhone SE 2022,12,256,12,90,Excellent,43900,37315.0
Apple,iPhone SE 2020,12,256,12,90,Excellent,42500,36125.0
Realme,Realme GT 6T,6,256,18,84,Excellent,30999,16700.0
OnePlus,OnePlus 12R,12,256,3,96,Excellent,39999,36500.0
OnePlus,OnePlus 12,12,128,46,62,Excellent,64999,14600.0
Google,Pixel 9 Pro XL,12,1024,28,72,Excellent,124999,49800.0
Nokia,Nokia X30,6,128,25,89,Good,36999,14300.0
Oppo,Oppo A79,6,128,6,98,Good,19999,14900.0
Realme,Realme 11 Pro,6,256,5,96,Excellent,23999,19000.0
Apple,iPhone 16 Plus,12,256,30,78,Good,89900,34000.0
Xiaomi,Redmi Note 12 Pro,6,256,18,81,Excellent,23999,12800.0
OnePlus,OnePlus 11R,6,256,25,71,Excellent,37999,16800.0
Vivo,Vivo T3,6,256,21,88,Excellent,19999,9000.0
Apple,iPhone 11 Pro,12,128,14,77,Fair,99900,54500.0
Vivo,Vivo V30 Pro,6,256,26,85,Excellent,41999,16400.0
Oppo,Oppo F25 Pro,8,256,26,73,Good,23999,8700.0
Samsung,Galaxy A55,8,128,4,94,Excellent,39999,37900.0
Realme,Realme GT 6T,8,128,39,68,Poor,30999,5200.0
Nokia,Nokia G21,4,64,44,76,Fair,12499,3000.0
Apple,iPhone XS Max,12,512,1,87,Poor,109900,80600.0
Apple,iPhone SE 2020,6,128,41,67,Good,42500,11200.0
Oppo,Oppo Reno 11 Pro,12,128,39,79,Excellent,37999,9100.0
IQOO,IQOO Neo 9 Pro,8,128,4,93,Excellent,35999,31300.0
Google,Pixel 9,16,128,9,97,Good,79999,64300.0
Samsung,Galaxy S23 FE,12,256,14,95,Good,59999,38600.0
Xiaomi,Redmi Note 12 Pro,8,256,29,73,Excellent,23999,8200.0
Xiaomi,Xiaomi 14 Ultra,16,512,15,85,Good,99999,50800.0
Samsung,Galaxy S24 Ultra,16,256,33,74,Excellent,129999,44700.0
Apple,iPhone 15 Pro Max,24,1024,37,62,Fair,159900,41700.0
Samsung,Galaxy M55,8,128,28,79,Good,26999,10100.0
Samsung,Galaxy M55,6,64,26,77,Excellent,26999,11000.0
OnePlus,OnePlus Open,12,512,12,77,Excellent,139999,85800.0
IQOO,IQOO 12,8,128,4,88,Excellent,52999,41100.0
Oppo,Oppo Reno 11 Pro,6,256,32,69,Good,37999,11300.0
Nothing,Nothing Phone 2,6,256,1,99,Fair,44999,35800.0
Xiaomi,Poco M6 Pro,6,64,13,86,Excellent,14999,9600.0
Realme,Realme GT 6T,8,64,4,86,Fair,30999,19300.0
Nokia,Nokia G21,4,64,5,88,Good,12499,8800.0
Apple,iPhone 11 Pro,8,512,16,83,Excellent,99900,69900.0
Realme,Realme 11 Pro,8,64,43,68,Good,23999,4900.0
Xiaomi,Xiaomi 13 Pro,16,512,20,69,Poor,79999,22700.0
Realme,Realme GT 6T,6,256,14,90,Good,30999,17200.0
Xiaomi,Xiaomi 14,6,256,19,89,Good,69999,33300.0
Google,Pixel 9 Pro XL,24,1024,20,92,Poor,124999,46700.0
Motorola,Moto Edge 50 Pro,8,64,7,90,Excellent,31999,23600.0
Xiaomi,Redmi Note 13 Pro+,8,256,32,72,Excellent,31999,10600.0
Samsung,Galaxy S24+,16,256,18,89,Excellent,99999,60400.0
Samsung,Galaxy F54,8,256,46,68,Good,29999,6000.0
Samsung,Galaxy F54,6,256,3,97,Excellent,29999,27700.0
Apple,iPhone 12,8,256,14,79,Good,79900,50700.0
Xiaomi,Poco M6 Pro,6,64,16,96,Fair,14999,7300.0
Samsung,Galaxy S24,16,256,27,66,Fair,79999,26900.0
Google,Pixel 8,12,128,45,77,Fair,75999,14500.0
Google,Pixel 6a,8,128,15,93,Excellent,29999,21200.0
Xiaomi,Redmi Note 12 Pro,8,64,18,79,Good,23999,11200.0
Xiaomi,Xiaomi 14 Ultra,8,256,12,93,Good,99999,64200.0
Samsung,Galaxy S24+,16,256,23,80,Good,99999,45600.0
Xiaomi,Xiaomi Pad 6,6,128,3,88,Good,26999,19600.0
IQOO,IQOO Z9,6,128,28,86,Excellent,19999,7600.0
Motorola,Moto Edge 50 Ultra,12,256,33,78,Excellent,54999,16500.0
Xiaomi,Redmi Note 13 Pro,6,64,27,75,Good,25999,8600.0
Realme,Realme 11 Pro,8,256,1,89,Excellent,23999,20600.0
Oppo,Oppo F25 Pro,8,128,29,74,Fair,23999,6900.0
Oppo,Oppo Reno 11 Pro,12,128,19,77,Good,37999,16400.0
Xiaomi,Xiaomi 14,6,256,15,87,Excellent,69999,42400.0
Realme,Realme GT 6T,8,128,41,67,Good,30999,7100.0
Xiaomi,Poco X6 Pro,8,64,10,88,Fair,25999,14400.0
Samsung,Galaxy Note 20 Ultra,16,256,12,87,Fair,104999,59300.0
OnePlus,OnePlus 12,12,128,8,79,Good,64999,44600.0
Realme,Realme 11 Pro,8,256,47,69,Fair,23999,3800.0
Nothing,Nothing Phone 2a,8,64,48,70,Fair,23999,4200.0
Apple,iPhone SE 2022,12,128,18,79,Good,43900,24800.0
Apple,iPhone 13 Pro,16,512,35,77,Good,119900,38100.0
Apple,iPhone 16 Pro Max,16,512,22,83,Good,159900,83700.0
Apple,iPhone 11,8,128,37,72,Good,64900,20600.0
Motorola,Moto G85,4,128,15,86,Excellent,17999,10200.0
Xiaomi,Redmi Note 12 Pro,8,256,11,95,Poor,23999,10700.0
Nothing,Nothing Phone 1,6,64,42,58,Good,29999,7200.0
Apple,iPhone 17,12,256,21,83,Fair,89900,42000.0
Oppo,Oppo A79,8,64,31,81,Excellent,19999,7000.0
IQOO,IQOO Neo 9 Pro,6,128,42,71,Excellent,35999,8700.0
Realme,Realme 12 Pro+,6,64,31,76,Good,29999,9100.0
Apple,iPhone XR,16,256,24,84,Good,76900,36700.0
Google,Pixel 8 Pro,16,256,38,79,Excellent,106999,31900.0
Vivo,Vivo V29,8,256,13,95,Good,32999,18400.0
Oppo,Oppo F25 Pro,6,256,3,97,Excellent,23999,20400.0
Xiaomi,Xiaomi 14,12,256,1,100,Excellent,69999,68200.0
Realme,Realme Narzo 70 Pro,6,128,12,78,Good,19999,11300.0
Apple,iPhone X,12,256,47,62,Excellent,89000,23000.0
Apple,iPhone XS,8,256,37,69,Good,99900,30500.0
Samsung,Galaxy Z Flip 5,12,128,32,78,Excellent,99999,36200.0
Vivo,Vivo V30 Pro,12,128,34,85,Poor,41999,8300.0
Vivo,Vivo V29,8,256,16,82,Good,32999,17100.0
Samsung,Galaxy S23 FE,6,256,45,59,Excellent,59999,14300.0
Xiaomi,Poco X6 Pro,8,128,48,60,Good,25999,4600.0
Apple,iPhone 16,16,128,21,80,Excellent,79900,47400.0
Oppo,Oppo Reno 11 Pro,6,128,48,56,Poor,37999,4700.0
Apple,iPhone 16 Plus,8,256,15,86,Good,89900,57600.0
Vivo,Vivo T3,6,128,3,100,Good,19999,15200.0
Motorola,Moto G85,4,64,37,71,Excellent,17999,4800.0
Xiaomi,Xiaomi 13 Pro,8,256,31,78,Good,79999,24400.0
Vivo,Vivo X100 Pro,8,128,37,74,Poor,89999,15000.0
Apple,iPhone 16,16,256,39,64,Fair,79900,20000.0
Nothing,Nothing Phone 1,8,256,28,73,Excellent,29999,11700.0
Realme,Realme GT 6T,6,256,14,86,Excellent,30999,18600.0
Samsung,Galaxy S24 Ultra,16,512,45,70,Good,129999,27500.0
Apple,iPhone 13 Mini,12,256,45,69,Excellent,69900,18000.0
Oppo,Oppo Reno 11 Pro,8,128,35,72,Excellent,37999,10400.0
Apple,iPhone 15 Pro,12,256,11,90,Fair,134900,94900.0
Xiaomi,Xiaomi 14,8,256,45,60,Good,69999,13500.0
OnePlus,OnePlus Open,16,256,39,77,Excellent,139999,37700.0
Samsung,Galaxy S23 Ultra,24,1024,38,73,Poor,124999,24800.0
Vivo,Vivo V30 Pro,12,128,12,79,Fair,41999,18700.0
